func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	vector	float	1000	0.000934794	0.00106975	0.00427902
sum	vector	float	2000	0.000939907	0.00212787	0.00851148
sum	vector	float	4000	0.000938563	0.00426183	0.0170473
sum	vector	float	8000	0.000941583	0.00849633	0.0339853
sum	vector	float	16000	0.00094934	0.0168538	0.0674152
sum	vector	float	32000	0.000965496	0.0331436	0.132574
sum	vector	float	64000	0.00100007	0.0639953	0.255981
sum	vector	float	128000	0.0010626	0.120459	0.481836
sum	vector	float	256000	0.00121745	0.210275	0.841101
sum	vector	float	512000	0.00147244	0.347721	1.39088
sum	vector	float	1024000	0.00198014	0.517136	2.06854
sum	vector	float	2048000	0.00284501	0.719858	2.87943
sum	vector	float	4096000	0.00469728	0.871995	3.48798
sum	vector	float	8192000	0.00781113	1.04876	4.19504
sum	vector	double	1000	0.00073406	0.00136229	0.0108983
sum	vector	double	2000	0.000739033	0.00270624	0.0216499
sum	vector	double	4000	0.000743892	0.00537712	0.043017
sum	vector	double	8000	0.000744555	0.0107447	0.0859574
sum	vector	double	16000	0.000754276	0.0212124	0.169699
sum	vector	double	32000	0.000783275	0.0408541	0.326833
sum	vector	double	64000	0.000815402	0.0784889	0.627911
sum	vector	double	128000	0.00090031	0.142173	1.13739
sum	vector	double	256000	0.00105553	0.242533	1.94026
sum	vector	double	512000	0.00138227	0.370405	2.96324
sum	vector	double	1024000	0.00201441	0.508336	4.06669
sum	vector	double	2048000	0.00328558	0.623329	4.98663
sum	vector	double	4096000	0.00582867	0.702733	5.62186
sum	vector	double	8192000	0.0109781	0.746213	5.96971
