func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_mul	vector	float	1000	2.03307e-05	0.0983734	0.393494
sv_mul	vector	float	2000	1.84147e-05	0.217218	0.868871
sv_mul	vector	float	4000	2.32125e-05	0.344642	1.37857
sv_mul	vector	float	8000	2.46172e-05	0.649952	2.59981
sv_mul	vector	float	16000	3.33941e-05	0.958253	3.83301
sv_mul	vector	float	32000	4.74941e-05	1.34754	5.39014
sv_mul	vector	float	64000	8.42506e-05	1.51928	6.07711
sv_mul	vector	float	128000	0.000136757	1.87193	7.48772
sv_mul	vector	float	256000	0.000247347	2.06996	8.27986
sv_mul	vector	float	512000	0.000478821	2.13858	8.55434
sv_mul	vector	float	1024000	0.000857594	2.38808	9.5523
sv_mul	vector	float	2048000	0.00159632	2.5659	10.2636
sv_mul	vector	float	4096000	0.00484922	1.68934	6.75738
sv_mul	vector	float	8192000	0.0158164	1.03589	4.14356
sv_mul	vector	double	1000	1.84471e-05	0.108418	0.867345
sv_mul	vector	double	2000	2.05748e-05	0.194413	1.5553
sv_mul	vector	double	4000	2.31463e-05	0.345628	2.76502
sv_mul	vector	double	8000	3.03713e-05	0.526813	4.21451
sv_mul	vector	double	16000	4.30536e-05	0.74326	5.94608
sv_mul	vector	double	32000	6.57405e-05	0.973525	7.7882
sv_mul	vector	double	64000	9.84408e-05	1.30027	10.4022
sv_mul	vector	double	128000	0.00017683	1.44772	11.5817
sv_mul	vector	double	256000	0.000332825	1.53835	12.3068
sv_mul	vector	double	512000	0.000636768	1.60812	12.865
sv_mul	vector	double	1024000	0.00185381	1.10475	8.83803
sv_mul	vector	double	2048000	0.0042044	0.974217	7.79374
sv_mul	vector	double	4096000	0.0152196	0.538254	4.30603
sv_mul	vector	double	8192000	0.0447075	0.366471	2.93177
