func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_mul	vector	float	1000	0.00183289	0.00109117	0.0043647
sv_mul	vector	float	2000	0.00185258	0.00215916	0.00863662
sv_mul	vector	float	4000	0.00186953	0.00427915	0.0171166
sv_mul	vector	float	8000	0.00190583	0.00839531	0.0335812
sv_mul	vector	float	16000	0.00194215	0.0164766	0.0659063
sv_mul	vector	float	32000	0.00224244	0.0285403	0.114161
sv_mul	vector	float	64000	0.00258597	0.0494978	0.197991
sv_mul	vector	float	128000	0.00333772	0.0766991	0.306796
sv_mul	vector	float	256000	0.00474191	0.107973	0.431893
sv_mul	vector	float	512000	0.00697597	0.14679	0.587159
sv_mul	vector	float	1024000	0.0121662	0.168335	0.673339
sv_mul	vector	float	2048000	0.0207376	0.197516	0.790063
sv_mul	vector	float	4096000	0.0392166	0.208891	0.835565
sv_mul	vector	float	8192000	0.0800768	0.204604	0.818414
sv_mul	vector	double	1000	0.00141674	0.00141169	0.0112935
sv_mul	vector	double	2000	0.0014306	0.00279603	0.0223683
sv_mul	vector	double	4000	0.00143987	0.00555607	0.0444485
sv_mul	vector	double	8000	0.00147962	0.0108136	0.0865089
sv_mul	vector	double	16000	0.00174041	0.0183865	0.147092
sv_mul	vector	double	32000	0.00195895	0.0326706	0.261365
sv_mul	vector	double	64000	0.00240831	0.0531493	0.425194
sv_mul	vector	double	128000	0.0033375	0.0767041	0.613633
sv_mul	vector	double	256000	0.0050576	0.101234	0.80987
sv_mul	vector	double	512000	0.00830364	0.123319	0.986556
sv_mul	vector	double	1024000	0.015785	0.129743	1.03795
sv_mul	vector	double	2048000	0.0299627	0.136703	1.09362
sv_mul	vector	double	4096000	0.0574966	0.142478	1.13982
sv_mul	vector	double	8192000	0.117978	0.138874	1.11099
