func	prec	M	N	time[sec]
convert(COO,Dense)	float	1000	1000	0.00284944
convert(COO,Dense)	float	2000	2000	0.00575786
convert(COO,Dense)	float	3000	3000	0.0166375
convert(COO,Dense)	float	4000	4000	0.0289271
convert(COO,Dense)	float	5000	5000	0.044357
convert(COO,Dense)	float	6000	6000	0.0626469
convert(COO,Dense)	float	7000	7000	0.0834556
convert(COO,Dense)	float	8000	8000	0.109497
convert(COO,Dense)	float	9000	9000	0.136147
convert(COO,Dense)	float	10000	10000	0.166007
convert(COO,Dense)	double	1000	1000	0.00307421
convert(COO,Dense)	double	2000	2000	0.00930836
convert(COO,Dense)	double	3000	3000	0.0307202
convert(COO,Dense)	double	4000	4000	0.0533724
convert(COO,Dense)	double	5000	5000	0.0834151
convert(COO,Dense)	double	6000	6000	0.115984
convert(COO,Dense)	double	7000	7000	0.159797
convert(COO,Dense)	double	8000	8000	0.20736
convert(COO,Dense)	double	9000	9000	0.260781
convert(COO,Dense)	double	10000	10000	0.31803
