func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	7.39036e-05	13.5311	162.374
matadd(Dense,Dense,Dense)	float	2000	2000	0.00192738	2.07535	24.9042
matadd(Dense,Dense,Dense)	float	3000	3000	0.00846532	1.06316	12.7579
matadd(Dense,Dense,Dense)	float	4000	4000	0.0161176	0.992702	11.9124
matadd(Dense,Dense,Dense)	float	5000	5000	0.0265527	0.941524	11.2983
matadd(Dense,Dense,Dense)	float	6000	6000	0.0379185	0.949404	11.3929
matadd(Dense,Dense,Dense)	float	7000	7000	0.0509471	0.961783	11.5414
matadd(Dense,Dense,Dense)	float	8000	8000	0.0523079	1.22353	14.6823
matadd(Dense,Dense,Dense)	float	9000	9000	0.0755066	1.07275	12.8731
matadd(Dense,Dense,Dense)	float	10000	10000	0.0991056	1.00902	12.1083
matadd(Dense,Dense,Dense)	double	1000	1000	0.000108823	9.18923	220.541
matadd(Dense,Dense,Dense)	double	2000	2000	0.00730888	0.547279	13.1347
matadd(Dense,Dense,Dense)	double	3000	3000	0.00844351	1.06591	25.5818
matadd(Dense,Dense,Dense)	double	4000	4000	0.0335288	0.477201	11.4528
matadd(Dense,Dense,Dense)	double	5000	5000	0.0535505	0.466849	11.2044
matadd(Dense,Dense,Dense)	double	6000	6000	0.0756957	0.475589	11.4141
matadd(Dense,Dense,Dense)	double	7000	7000	0.0821422	0.596526	14.3166
matadd(Dense,Dense,Dense)	double	8000	8000	0.123761	0.517124	12.411
matadd(Dense,Dense,Dense)	double	9000	9000	0.110333	0.734144	17.6195
matadd(Dense,Dense,Dense)	double	10000	10000	0.148606	0.672922	16.1501
