func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	4.62782e-05	21.6084	172.868
mscal(Dense)	float	2000	2000	9.97788e-05	40.0887	320.709
mscal(Dense)	float	3000	3000	0.000251581	35.7737	286.19
mscal(Dense)	float	4000	4000	0.00584685	2.73652	21.8921
mscal(Dense)	float	5000	5000	0.0119231	2.09678	16.7742
mscal(Dense)	float	6000	6000	0.0178221	2.01996	16.1597
mscal(Dense)	float	7000	7000	0.0248251	1.97381	15.7905
mscal(Dense)	float	8000	8000	0.0317221	2.01752	16.1401
mscal(Dense)	float	9000	9000	0.0410226	1.97452	15.7962
mscal(Dense)	float	10000	10000	0.0511281	1.95587	15.647
mscal(Dense)	double	1000	1000	5.1595e-05	19.3817	310.108
mscal(Dense)	double	2000	2000	0.00019376	20.6441	330.306
mscal(Dense)	double	3000	3000	0.0074275	1.21171	19.3874
mscal(Dense)	double	4000	4000	0.0155959	1.02591	16.4146
mscal(Dense)	double	5000	5000	0.0245799	1.01709	16.2734
mscal(Dense)	double	6000	6000	0.0240599	1.49627	23.9402
mscal(Dense)	double	7000	7000	0.045972	1.06587	17.0539
mscal(Dense)	double	8000	8000	0.0588307	1.08787	17.4059
mscal(Dense)	double	9000	9000	0.0766205	1.05716	16.9145
mscal(Dense)	double	10000	10000	0.0761716	1.31283	21.0052
