func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
nrm2	float	1000	0.000513557	0.00389441	0.00778882
nrm2	float	10000	0.000530365	0.0377099	0.0754198
nrm2	float	100000	0.000513493	0.389489	0.778978
nrm2	float	1000000	0.000557198	3.58939	7.17877
nrm2	float	10000000	0.000951912	21.0103	42.0207
nrm2	float	100000000	0.00472215	42.3535	84.7071
nrm2	double	1000	0.000523738	0.0038187	0.0152748
nrm2	double	10000	0.000831966	0.0240394	0.0961577
nrm2	double	100000	0.000530536	0.376977	1.50791
nrm2	double	1000000	0.000603812	3.31229	13.2492
nrm2	double	10000000	0.00134795	14.8373	59.3493
nrm2	double	100000000	0.00861068	23.227	92.9079
