func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	CRS	float	10000	10000	0.000365901	2.21372	17.7097
mscal(CRS)	CRS	float	20000	20000	0.000590152	2.74506	21.9605
mscal(CRS)	CRS	float	30000	30000	0.000774324	3.13822	25.1058
mscal(CRS)	CRS	float	40000	40000	0.000964474	3.35934	26.8747
mscal(CRS)	CRS	float	50000	50000	0.00115295	3.51272	28.1018
mscal(CRS)	CRS	float	60000	60000	0.00146173	3.32482	26.5986
mscal(CRS)	CRS	float	70000	70000	0.00140849	4.02557	32.2046
mscal(CRS)	CRS	float	80000	80000	0.0014884	4.35367	34.8293
mscal(CRS)	CRS	float	90000	90000	0.00156601	4.65513	37.241
mscal(CRS)	CRS	float	100000	100000	0.00172136	4.70557	37.6445
mscal(CRS)	CRS	double	10000	10000	0.000399159	2.02927	32.4683
mscal(CRS)	CRS	double	20000	20000	0.000685619	2.36283	37.8053
mscal(CRS)	CRS	double	30000	30000	0.000956069	2.54166	40.6665
mscal(CRS)	CRS	double	40000	40000	0.00126602	2.5592	40.9471
mscal(CRS)	CRS	double	50000	50000	0.0015791	2.56476	41.0361
mscal(CRS)	CRS	double	60000	60000	0.00180587	2.69123	43.0597
mscal(CRS)	CRS	double	70000	70000	0.00208116	2.72444	43.5911
mscal(CRS)	CRS	double	80000	80000	0.00233363	2.77679	44.4286
mscal(CRS)	CRS	double	90000	90000	0.002572	2.83437	45.3499
mscal(CRS)	CRS	double	100000	100000	0.00284278	2.84933	45.5892
