func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00283693
transpose(Dense)	Dense	float	2000	2000	0.0150286
transpose(Dense)	Dense	float	3000	3000	0.0480699
transpose(Dense)	Dense	float	4000	4000	0.0974748
transpose(Dense)	Dense	float	5000	5000	0.153283
transpose(Dense)	Dense	float	6000	6000	0.210953
transpose(Dense)	Dense	float	7000	7000	0.317453
transpose(Dense)	Dense	float	8000	8000	0.390105
transpose(Dense)	Dense	float	9000	9000	0.526104
transpose(Dense)	Dense	float	10000	10000	0.610338
transpose(Dense)	Dense	double	1000	1000	0.00348089
transpose(Dense)	Dense	double	2000	2000	0.0277257
transpose(Dense)	Dense	double	3000	3000	0.0736586
transpose(Dense)	Dense	double	4000	4000	0.147961
transpose(Dense)	Dense	double	5000	5000	0.227761
transpose(Dense)	Dense	double	6000	6000	0.339107
transpose(Dense)	Dense	double	7000	7000	0.450512
transpose(Dense)	Dense	double	8000	8000	0.613955
transpose(Dense)	Dense	double	9000	9000	0.748012
transpose(Dense)	Dense	double	10000	10000	0.928205
