func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_atan(Dense)	Dense	float	1000	1000	0.00266138	0.375744
m_atan(Dense)	Dense	float	2000	2000	0.00822847	0.486117
m_atan(Dense)	Dense	float	3000	3000	0.018861	0.477176
m_atan(Dense)	Dense	float	4000	4000	0.0313341	0.510627
m_atan(Dense)	Dense	float	5000	5000	0.0439098	0.569349
m_atan(Dense)	Dense	float	6000	6000	0.0659944	0.545501
m_atan(Dense)	Dense	float	7000	7000	0.0898577	0.545307
m_atan(Dense)	Dense	float	8000	8000	0.116983	0.547087
m_atan(Dense)	Dense	float	9000	9000	0.147411	0.549483
m_atan(Dense)	Dense	float	10000	10000	0.17995	0.555709
m_atan(Dense)	Dense	double	1000	1000	0.00235353	0.424893
m_atan(Dense)	Dense	double	2000	2000	0.0104997	0.380965
m_atan(Dense)	Dense	double	3000	3000	0.0230183	0.390993
m_atan(Dense)	Dense	double	4000	4000	0.0397446	0.40257
m_atan(Dense)	Dense	double	5000	5000	0.0554626	0.450754
m_atan(Dense)	Dense	double	6000	6000	0.0845973	0.425545
m_atan(Dense)	Dense	double	7000	7000	0.108696	0.450799
m_atan(Dense)	Dense	double	8000	8000	0.146443	0.437031
m_atan(Dense)	Dense	double	9000	9000	0.180829	0.447936
m_atan(Dense)	Dense	double	10000	10000	0.226705	0.441102
