func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sin(CRS)	CRS	float	10000	10000	0.000360671	2.24582
m_sin(CRS)	CRS	float	20000	20000	0.000630044	2.57125
m_sin(CRS)	CRS	float	30000	30000	0.000860793	2.82298
m_sin(CRS)	CRS	float	40000	40000	0.00110491	2.93238
m_sin(CRS)	CRS	float	50000	50000	0.00136816	2.96017
m_sin(CRS)	CRS	float	60000	60000	0.00137288	3.54002
m_sin(CRS)	CRS	float	70000	70000	0.00167476	3.38556
m_sin(CRS)	CRS	float	80000	80000	0.00169835	3.81547
m_sin(CRS)	CRS	float	90000	90000	0.00181153	4.02422
m_sin(CRS)	CRS	float	100000	100000	0.00196863	4.11454
m_sin(CRS)	CRS	double	10000	10000	0.000860106	0.941744
m_sin(CRS)	CRS	double	20000	20000	0.00162023	0.999856
m_sin(CRS)	CRS	double	30000	30000	0.00229158	1.0604
m_sin(CRS)	CRS	double	40000	40000	0.0029841	1.08575
m_sin(CRS)	CRS	double	50000	50000	0.00407855	0.993001
m_sin(CRS)	CRS	double	60000	60000	0.00443249	1.09645
m_sin(CRS)	CRS	double	70000	70000	0.00510663	1.11032
m_sin(CRS)	CRS	double	80000	80000	0.00574095	1.12873
m_sin(CRS)	CRS	double	90000	90000	0.00645744	1.12893
m_sin(CRS)	CRS	double	100000	100000	0.00719501	1.12578
