func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	CRS	float	10000	10000	0.000146272	5.53762	44.301
mscal(CRS)	CRS	float	20000	20000	0.000199144	8.13482	65.0786
mscal(CRS)	CRS	float	30000	30000	0.000292744	8.30078	66.4062
mscal(CRS)	CRS	float	40000	40000	0.00038171	8.48812	67.9049
mscal(CRS)	CRS	float	50000	50000	0.000481454	8.41201	67.2961
mscal(CRS)	CRS	float	60000	60000	0.000599403	8.10806	64.8645
mscal(CRS)	CRS	float	70000	70000	0.00233212	2.43126	19.4501
mscal(CRS)	CRS	float	80000	80000	0.00376665	1.72036	13.7629
mscal(CRS)	CRS	float	90000	90000	0.00218721	3.33302	26.6642
mscal(CRS)	CRS	float	100000	100000	0.00594325	1.36289	10.9031
mscal(CRS)	CRS	double	10000	10000	0.000127879	6.33414	101.346
mscal(CRS)	CRS	double	20000	20000	0.000233441	6.93966	111.035
mscal(CRS)	CRS	double	30000	30000	0.000521463	4.65997	74.5595
mscal(CRS)	CRS	double	40000	40000	0.00369611	0.876598	14.0256
mscal(CRS)	CRS	double	50000	50000	0.00573693	0.705952	11.2952
mscal(CRS)	CRS	double	60000	60000	0.00844093	0.575766	9.21225
mscal(CRS)	CRS	double	70000	70000	0.0102895	0.551046	8.81673
mscal(CRS)	CRS	double	80000	80000	0.00758176	0.854683	13.6749
mscal(CRS)	CRS	double	90000	90000	0.0152998	0.476477	7.62363
mscal(CRS)	CRS	double	100000	100000	0.0156826	0.516495	8.26391
