func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vecsub	vector	float	1000	3.97121e-05	0.0251813	0.302175
vecsub	vector	float	10000	3.48885e-05	0.286627	3.43953
vecsub	vector	float	100000	6.0824e-05	1.64409	19.729
vecsub	vector	float	1000000	0.000259465	3.85409	46.249
vecsub	vector	float	10000000	0.00143833	6.95253	83.4304
vecsub	vector	float	100000000	0.0127259	7.858	94.296
vecsub	vector	double	1000	3.1147e-05	0.0321058	0.770539
vecsub	vector	double	10000	3.58282e-05	0.27911	6.69863
vecsub	vector	double	100000	0.000102074	0.979682	23.5124
vecsub	vector	double	1000000	0.00047957	2.0852	50.0448
vecsub	vector	double	10000000	0.00264038	3.78733	90.8959
vecsub	vector	double	100000000	0.0243045	4.11447	98.7472
