func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_mul	vector	float	1000	0.000687007	0.00145559	0.0174671
vv_mul	vector	float	10000	3.3762e-06	2.96191	35.5429
vv_mul	vector	float	100000	4.72839e-05	2.11488	25.3786
vv_mul	vector	float	1000000	0.000125852	7.94585	95.3502
vv_mul	vector	float	10000000	0.00605812	1.65068	19.8081
vv_mul	vector	float	100000000	0.0517963	1.93064	23.1677
vv_mul	vector	double	1000	1.84537e-06	0.541898	13.0055
vv_mul	vector	double	10000	6.5806e-06	1.51962	36.4708
vv_mul	vector	double	100000	4.84271e-05	2.06496	49.559
vv_mul	vector	double	1000000	0.000549401	1.82016	43.684
vv_mul	vector	double	10000000	0.0116553	0.85798	20.5915
vv_mul	vector	double	100000000	0.10933	0.914659	21.9518
