func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
xpay	vector	float	1000	3.09357e-05	0.0969752	0.258601
xpay	vector	float	10000	3.72348e-05	0.805699	2.14853
xpay	vector	float	100000	5.0775e-05	5.90842	15.7558
xpay	vector	float	1000000	0.000260847	11.501	30.6694
xpay	vector	float	10000000	0.00152731	19.6424	52.3797
xpay	vector	float	100000000	0.0127648	23.5022	62.6726
xpay	vector	double	1000	2.58733e-05	0.11595	0.618399
xpay	vector	double	10000	6.1233e-05	0.489932	2.61297
xpay	vector	double	100000	0.000106341	2.82111	15.0459
xpay	vector	double	1000000	0.000491101	6.10872	32.5798
xpay	vector	double	10000000	0.00258593	11.6012	61.8733
xpay	vector	double	100000000	0.0242085	12.3924	66.0926
