func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
nrm2	vector	float	1000	0.000257041	0.00778085	0.0155617
nrm2	vector	float	10000	0.000252572	0.0791853	0.158371
nrm2	vector	float	100000	0.00025156	0.79504	1.59008
nrm2	vector	float	1000000	0.000501056	3.99157	7.98314
nrm2	vector	float	10000000	0.000901009	22.1973	44.3947
nrm2	vector	float	100000000	0.00467104	42.817	85.634
nrm2	vector	double	1000	0.000280711	0.00712477	0.0284991
nrm2	vector	double	10000	0.000300723	0.0665064	0.266025
nrm2	vector	double	100000	0.000311121	0.642838	2.57135
nrm2	vector	double	1000000	0.000682305	2.93124	11.725
nrm2	vector	double	10000000	0.00131999	15.1516	60.6064
nrm2	vector	double	100000000	0.00860362	23.246	92.9841
