func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_mul	vector	float	1000	0.000343905	0.00581556	0.0232622
sv_mul	vector	float	10000	2.46676e-05	0.810781	3.24312
sv_mul	vector	float	100000	9.35871e-05	2.13705	8.54819
sv_mul	vector	float	1000000	0.000710222	2.81602	11.2641
sv_mul	vector	float	10000000	0.0263256	0.759716	3.03886
sv_mul	vector	float	100000000	0.211541	0.945443	3.78177
sv_mul	vector	double	1000	2.20181e-05	0.0908342	0.726674
sv_mul	vector	double	10000	3.32795e-05	0.600971	4.80776
sv_mul	vector	double	100000	0.000146323	1.36684	10.9347
sv_mul	vector	double	1000000	0.00133376	1.49952	11.9962
sv_mul	vector	double	10000000	0.0389385	0.513631	4.10905
sv_mul	vector	double	100000000	0.439762	0.454792	3.63833
