func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_div	vector	float	1000	0.000127244	0.0157178	0.0943068
vv_div	vector	float	10000	0.000150743	0.132676	0.796057
vv_div	vector	float	100000	0.000491379	0.407018	2.44211
vv_div	vector	float	1000000	0.00396866	0.503949	3.02369
vv_div	vector	float	10000000	0.0348792	0.573407	3.44044
vv_div	vector	float	100000000	0.339501	0.5891	3.5346
vv_div	vector	double	1000	0.000112286	0.0178117	0.21374
vv_div	vector	double	10000	0.000171986	0.116289	1.39546
vv_div	vector	double	100000	0.000819209	0.244138	2.92965
vv_div	vector	double	1000000	0.0072248	0.276824	3.32189
vv_div	vector	double	10000000	0.0677403	0.295245	3.54294
vv_div	vector	double	100000000	0.685671	0.291685	3.50022
