func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_atan(Dense)	Dense	float	1000	1000	0.000276923	3.61111
m_atan(Dense)	Dense	float	2000	2000	0.000925812	4.32053
m_atan(Dense)	Dense	float	3000	3000	0.0020065	4.48542
m_atan(Dense)	Dense	float	4000	4000	0.00338577	4.72566
m_atan(Dense)	Dense	float	5000	5000	0.00471965	5.297
m_atan(Dense)	Dense	float	6000	6000	0.00625046	5.75957
m_atan(Dense)	Dense	float	7000	7000	0.00825116	5.93856
m_atan(Dense)	Dense	float	8000	8000	0.0108137	5.91843
m_atan(Dense)	Dense	float	9000	9000	0.0136259	5.94454
m_atan(Dense)	Dense	float	10000	10000	0.0167687	5.96351
m_atan(Dense)	Dense	double	1000	1000	0.000676532	1.47813
m_atan(Dense)	Dense	double	2000	2000	0.00251181	1.59248
m_atan(Dense)	Dense	double	3000	3000	0.00558516	1.61141
m_atan(Dense)	Dense	double	4000	4000	0.00997929	1.60332
m_atan(Dense)	Dense	double	5000	5000	0.0154784	1.61516
m_atan(Dense)	Dense	double	6000	6000	0.022215	1.62053
m_atan(Dense)	Dense	double	7000	7000	0.0302171	1.6216
m_atan(Dense)	Dense	double	8000	8000	0.0393959	1.62453
m_atan(Dense)	Dense	double	9000	9000	0.0497827	1.62707
m_atan(Dense)	Dense	double	10000	10000	0.0613869	1.62901
