func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	CRS	float	10000	10000	0.000332257	2.43787	19.503
mscal(CRS)	CRS	float	20000	20000	0.000547714	2.95775	23.662
mscal(CRS)	CRS	float	30000	30000	0.000843606	2.88049	23.0439
mscal(CRS)	CRS	float	40000	40000	0.000903143	3.58747	28.6998
mscal(CRS)	CRS	float	50000	50000	0.00110409	3.66818	29.3454
mscal(CRS)	CRS	float	60000	60000	0.00135797	3.57887	28.6309
mscal(CRS)	CRS	float	70000	70000	0.00139385	4.06786	32.5429
mscal(CRS)	CRS	float	80000	80000	0.00147209	4.40192	35.2153
mscal(CRS)	CRS	float	90000	90000	0.00157093	4.64057	37.1246
mscal(CRS)	CRS	float	100000	100000	0.00172072	4.70734	37.6588
mscal(CRS)	CRS	double	10000	10000	0.000408238	1.98414	31.7462
mscal(CRS)	CRS	double	20000	20000	0.000686426	2.36005	37.7608
mscal(CRS)	CRS	double	30000	30000	0.000961988	2.52602	40.4163
mscal(CRS)	CRS	double	40000	40000	0.00127884	2.53355	40.5369
mscal(CRS)	CRS	double	50000	50000	0.00152469	2.65627	42.5004
mscal(CRS)	CRS	double	60000	60000	0.00181848	2.67256	42.7609
mscal(CRS)	CRS	double	70000	70000	0.00205746	2.75583	44.0933
mscal(CRS)	CRS	double	80000	80000	0.00232313	2.78934	44.6294
mscal(CRS)	CRS	double	90000	90000	0.00261573	2.78698	44.5918
mscal(CRS)	CRS	double	100000	100000	0.00286395	2.82826	45.2522
