func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
dot	vector	float	1000	0.000260491	0.0076778	0.0307112
dot	vector	float	10000	0.000254792	0.0784953	0.313981
dot	vector	float	100000	0.000257852	0.775637	3.10255
dot	vector	float	1000000	0.000534926	3.73883	14.9553
dot	vector	float	10000000	0.00134815	14.8352	59.3407
dot	vector	float	100000000	0.00830854	24.0716	96.2864
dot	vector	double	1000	0.000257915	0.0077545	0.062036
dot	vector	double	10000	0.000254164	0.0786894	0.629515
dot	vector	double	100000	0.000269151	0.743077	5.94462
dot	vector	double	1000000	0.000608491	3.28682	26.2945
dot	vector	double	10000000	0.00200954	9.9525	79.62
dot	vector	double	100000000	0.0159614	12.5303	100.242
