func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_asin(CRS)	CRS	float	10000	10000	0.000487874	1.66026
m_asin(CRS)	CRS	float	20000	20000	0.000840827	1.92667
m_asin(CRS)	CRS	float	30000	30000	0.00117523	2.06768
m_asin(CRS)	CRS	float	40000	40000	0.00153431	2.1117
m_asin(CRS)	CRS	float	50000	50000	0.00173336	2.33651
m_asin(CRS)	CRS	float	60000	60000	0.00196415	2.47435
m_asin(CRS)	CRS	float	70000	70000	0.00201785	2.80992
m_asin(CRS)	CRS	float	80000	80000	0.00220268	2.94187
m_asin(CRS)	CRS	float	90000	90000	0.00245138	2.97383
m_asin(CRS)	CRS	float	100000	100000	0.00270424	2.9953
m_asin(CRS)	CRS	double	10000	10000	0.00133083	0.608643
m_asin(CRS)	CRS	double	20000	20000	0.00241338	0.671257
m_asin(CRS)	CRS	double	30000	30000	0.00350242	0.693807
m_asin(CRS)	CRS	double	40000	40000	0.00461631	0.701859
m_asin(CRS)	CRS	double	50000	50000	0.0058993	0.686522
m_asin(CRS)	CRS	double	60000	60000	0.00682505	0.712083
m_asin(CRS)	CRS	double	70000	70000	0.00798776	0.709836
m_asin(CRS)	CRS	double	80000	80000	0.00908388	0.713352
m_asin(CRS)	CRS	double	90000	90000	0.0101337	0.719382
m_asin(CRS)	CRS	double	100000	100000	0.0113013	0.71673
