func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sin	vector	float	1000	2.60058e-05	0.0384529	0.307623
sin	vector	float	10000	4.54024e-05	0.220253	1.76202
sin	vector	float	100000	6.19355e-05	1.61458	12.9167
sin	vector	float	1000000	0.000261515	3.82388	30.591
sin	vector	float	10000000	0.00167074	5.98537	47.883
sin	vector	float	100000000	0.011869	8.4253	67.4024
sin	vector	double	1000	5.46773e-05	0.0182891	0.292626
sin	vector	double	10000	6.57075e-05	0.15219	2.43503
sin	vector	double	100000	0.000216079	0.462794	7.4047
sin	vector	double	1000000	0.000647797	1.54369	24.6991
sin	vector	double	10000000	0.00459326	2.1771	34.8336
sin	vector	double	100000000	0.0425051	2.35266	37.6425
