func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_pow	vector	float	1000	0.000689483	0.00145036	0.0174043
vv_pow	vector	float	10000	2.11412e-05	0.473011	5.67613
vv_pow	vector	float	100000	9.68084e-05	1.03297	12.3956
vv_pow	vector	float	1000000	0.000593995	1.68352	20.2022
vv_pow	vector	float	10000000	0.00642373	1.55673	18.6807
vv_pow	vector	float	100000000	0.0635277	1.57412	18.8894
vv_pow	vector	double	1000	1.25487e-05	0.0796893	1.91254
vv_pow	vector	double	10000	2.55849e-05	0.390856	9.38055
vv_pow	vector	double	100000	0.000111172	0.899507	21.5882
vv_pow	vector	double	1000000	0.00100165	0.998351	23.9604
vv_pow	vector	double	10000000	0.0273661	0.365416	8.76999
vv_pow	vector	double	100000000	0.120397	0.830586	19.9341
