func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
asum	float	1000	0.000501481	0.00199409	0.00797637	
asum	float	10000	0.000505027	0.0198009	0.0792037	
asum	float	100000	0.000519521	0.192485	0.76994	
asum	float	1000000	0.000545479	1.83325	7.33301	
asum	float	10000000	0.000936906	10.6734	42.6937	
asum	float	100000000	0.00465074	21.5019	86.0078	
asum	double	1000	0.000484115	0.00206562	0.016525	
asum	double	10000	0.000481733	0.0207584	0.166067	
asum	double	100000	0.000495986	0.201619	1.61295	
asum	double	1000000	0.000558859	1.78936	14.3149	
asum	double	10000000	0.00123847	8.07446	64.5957	
asum	double	100000000	0.00826328	12.1017	96.8139	
