func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	float	1000	0.000292846	0.00682952	0.0409771	
axpyz	float	10000	7.4304e-06	2.69165	16.1499	
axpyz	float	100000	1.00233e-05	19.9535	119.721	
axpyz	float	1000000	4.06239e-05	49.2321	295.393	
axpyz	float	10000000	0.00303498	6.58984	39.539	
axpyz	float	100000000	0.0374713	5.33742	32.0245	
axpyz	double	1000	6.9183e-06	0.289088	3.46906	
axpyz	double	10000	7.532e-06	2.65534	31.864	
axpyz	double	100000	1.20504e-05	16.597	199.164	
axpyz	double	1000000	7.56393e-05	26.4413	317.295	
axpyz	double	10000000	0.0206548	0.968299	11.6196	
axpyz	double	100000000	0.0961784	2.07947	24.9536	
