func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	float	1000	0.000929712	0.0021512	0.0129072	
axpyz	float	10000	0.000966419	0.020695	0.12417	
axpyz	float	100000	0.00127122	0.157329	0.943974	
axpyz	float	1000000	0.00418912	0.477427	2.86456	
axpyz	float	10000000	0.0315547	0.633819	3.80292	
axpyz	float	100000000	0.266334	0.750936	4.50562	
axpyz	double	1000	0.000734391	0.00272334	0.0326801	
axpyz	double	10000	0.000763461	0.0261965	0.314358	
axpyz	double	100000	0.00109107	0.183306	2.19967	
axpyz	double	1000000	0.00407093	0.491288	5.89546	
axpyz	double	10000000	0.0352668	0.567106	6.80528	
axpyz	double	100000000	0.342407	0.5841	7.0092	
