func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_asinh(Dense)	Dense	float	1000	1000	0.00122278	0.81781
m_asinh(Dense)	Dense	float	2000	2000	0.00195222	2.04895
m_asinh(Dense)	Dense	float	3000	3000	0.0035658	2.52398
m_asinh(Dense)	Dense	float	4000	4000	0.00814297	1.96489
m_asinh(Dense)	Dense	float	5000	5000	0.0127699	1.95773
m_asinh(Dense)	Dense	float	6000	6000	0.0149938	2.401
m_asinh(Dense)	Dense	float	7000	7000	0.0276068	1.77493
m_asinh(Dense)	Dense	float	8000	8000	0.0317442	2.01611
m_asinh(Dense)	Dense	float	9000	9000	0.0256364	3.15957
m_asinh(Dense)	Dense	float	10000	10000	0.0345214	2.89675
m_asinh(Dense)	Dense	double	1000	1000	0.000596936	1.67522
m_asinh(Dense)	Dense	double	2000	2000	0.00415222	0.96334
m_asinh(Dense)	Dense	double	3000	3000	0.00951145	0.946228
m_asinh(Dense)	Dense	double	4000	4000	0.0166446	0.961272
m_asinh(Dense)	Dense	double	5000	5000	0.0224945	1.11138
m_asinh(Dense)	Dense	double	6000	6000	0.0265518	1.35584
m_asinh(Dense)	Dense	double	7000	7000	0.0356367	1.37499
m_asinh(Dense)	Dense	double	8000	8000	0.0439505	1.45618
m_asinh(Dense)	Dense	double	9000	9000	0.0664557	1.21886
m_asinh(Dense)	Dense	double	10000	10000	0.0848215	1.17895
