func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sin(CRS)	CRS	float	10000	10000	0.000381014	2.12591
m_sin(CRS)	CRS	float	20000	20000	0.000648757	2.49708
m_sin(CRS)	CRS	float	30000	30000	0.000943671	2.57505
m_sin(CRS)	CRS	float	40000	40000	0.00106575	3.04011
m_sin(CRS)	CRS	float	50000	50000	0.00129933	3.117
m_sin(CRS)	CRS	float	60000	60000	0.00164342	2.95724
m_sin(CRS)	CRS	float	70000	70000	0.00144812	3.91542
m_sin(CRS)	CRS	float	80000	80000	0.00153771	4.21406
m_sin(CRS)	CRS	float	90000	90000	0.00171492	4.25093
m_sin(CRS)	CRS	float	100000	100000	0.00189026	4.28514
m_sin(CRS)	CRS	double	10000	10000	0.00086148	0.940242
m_sin(CRS)	CRS	double	20000	20000	0.00158913	1.01942
m_sin(CRS)	CRS	double	30000	30000	0.00229517	1.05874
m_sin(CRS)	CRS	double	40000	40000	0.00299683	1.08114
m_sin(CRS)	CRS	double	50000	50000	0.00372562	1.08707
m_sin(CRS)	CRS	double	60000	60000	0.00438277	1.10889
m_sin(CRS)	CRS	double	70000	70000	0.00512388	1.10658
m_sin(CRS)	CRS	double	80000	80000	0.00585535	1.10668
m_sin(CRS)	CRS	double	90000	90000	0.00647413	1.12602
m_sin(CRS)	CRS	double	100000	100000	0.00717623	1.12873
