func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sinh(Dense)	Dense	float	1000	1000	0.00119245	0.838609
m_sinh(Dense)	Dense	float	2000	2000	0.00155332	2.57512
m_sinh(Dense)	Dense	float	3000	3000	0.00336667	2.67327
m_sinh(Dense)	Dense	float	4000	4000	0.00692943	2.30899
m_sinh(Dense)	Dense	float	5000	5000	0.00934443	2.67539
m_sinh(Dense)	Dense	float	6000	6000	0.0117494	3.06398
m_sinh(Dense)	Dense	float	7000	7000	0.0219318	2.23419
m_sinh(Dense)	Dense	float	8000	8000	0.0244812	2.61425
m_sinh(Dense)	Dense	float	9000	9000	0.0283682	2.8553
m_sinh(Dense)	Dense	float	10000	10000	0.0345538	2.89403
m_sinh(Dense)	Dense	double	1000	1000	0.000815591	1.2261
m_sinh(Dense)	Dense	double	2000	2000	0.00362965	1.10203
m_sinh(Dense)	Dense	double	3000	3000	0.00939163	0.9583
m_sinh(Dense)	Dense	double	4000	4000	0.0200795	0.796831
m_sinh(Dense)	Dense	double	5000	5000	0.0283259	0.882585
m_sinh(Dense)	Dense	double	6000	6000	0.0225545	1.59613
m_sinh(Dense)	Dense	double	7000	7000	0.0453791	1.07979
m_sinh(Dense)	Dense	double	8000	8000	0.0526436	1.21572
m_sinh(Dense)	Dense	double	9000	9000	0.0773532	1.04714
m_sinh(Dense)	Dense	double	10000	10000	0.097968	1.02074
