func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_mul(CRS,CRS,CRS)	CRS	float	10000	10000	0.000350654	4.61994	27.7196
mm_mul(CRS,CRS,CRS)	CRS	float	20000	20000	0.000596697	5.42989	32.5794
mm_mul(CRS,CRS,CRS)	CRS	float	30000	30000	0.000798844	6.08379	36.5027
mm_mul(CRS,CRS,CRS)	CRS	float	40000	40000	0.00110714	5.85291	35.1174
mm_mul(CRS,CRS,CRS)	CRS	float	50000	50000	0.00118573	6.83125	40.9875
mm_mul(CRS,CRS,CRS)	CRS	float	60000	60000	0.00144996	6.70365	40.2219
mm_mul(CRS,CRS,CRS)	CRS	float	70000	70000	0.00158884	7.13729	42.8237
mm_mul(CRS,CRS,CRS)	CRS	float	80000	80000	0.00177324	7.30866	43.8519
mm_mul(CRS,CRS,CRS)	CRS	float	90000	90000	0.00195524	7.45688	44.7413
mm_mul(CRS,CRS,CRS)	CRS	float	100000	100000	0.00215076	7.53222	45.1933
mm_mul(CRS,CRS,CRS)	CRS	double	10000	10000	0.000530594	3.05318	36.6382
mm_mul(CRS,CRS,CRS)	CRS	double	20000	20000	0.000943845	3.43277	41.1932
mm_mul(CRS,CRS,CRS)	CRS	double	30000	30000	0.00136075	3.57155	42.8586
mm_mul(CRS,CRS,CRS)	CRS	double	40000	40000	0.00176219	3.67725	44.127
mm_mul(CRS,CRS,CRS)	CRS	double	50000	50000	0.00215058	3.76642	45.197
mm_mul(CRS,CRS,CRS)	CRS	double	60000	60000	0.00254297	3.8223	45.8676
mm_mul(CRS,CRS,CRS)	CRS	double	70000	70000	0.00292914	3.87144	46.4572
mm_mul(CRS,CRS,CRS)	CRS	double	80000	80000	0.0033366	3.88419	46.6103
mm_mul(CRS,CRS,CRS)	CRS	double	90000	90000	0.00371433	3.92534	47.104
mm_mul(CRS,CRS,CRS)	CRS	double	100000	100000	0.00410134	3.94993	47.3992
