func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
asin	vector	float	1000	6.51069e-05	0.0153594	0.122875
asin	vector	float	10000	9.88028e-05	0.101212	0.809694
asin	vector	float	100000	0.000108279	0.923539	7.38831
asin	vector	float	1000000	0.000352187	2.8394	22.7152
asin	vector	float	10000000	0.00234335	4.26739	34.1391
asin	vector	float	100000000	0.0160977	6.21208	49.6967
asin	vector	double	1000	7.54512e-05	0.0132536	0.212058
asin	vector	double	10000	9.23701e-05	0.10826	1.73216
asin	vector	double	100000	0.000184321	0.542532	8.68051
asin	vector	double	1000000	0.000928665	1.07682	17.229
asin	vector	double	10000000	0.00699472	1.42965	22.8744
asin	vector	double	100000000	0.0668575	1.49572	23.9315
