func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_sub	vector	float	1000	0.000667917	0.00149719	0.0179663
vv_sub	vector	float	10000	3.18663e-06	3.13811	37.6573
vv_sub	vector	float	100000	4.68188e-05	2.1359	25.6307
vv_sub	vector	float	1000000	9.7678e-05	10.2377	122.853
vv_sub	vector	float	10000000	0.00610437	1.63817	19.6581
vv_sub	vector	float	100000000	0.0577359	1.73202	20.7843
vv_sub	vector	double	1000	1.99237e-06	0.501916	12.046
vv_sub	vector	double	10000	6.6315e-06	1.50795	36.1909
vv_sub	vector	double	100000	5.94796e-05	1.68125	40.35
vv_sub	vector	double	1000000	0.000741179	1.3492	32.3808
vv_sub	vector	double	10000000	0.0116563	0.857906	20.5897
vv_sub	vector	double	100000000	0.125764	0.795138	19.0833
