func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matsub(CRS,CRS,CRS)	CRS	float	10000	10000	0.000836742	0.96804	11.6165
matsub(CRS,CRS,CRS)	CRS	float	20000	20000	0.00172547	0.938872	11.2665
matsub(CRS,CRS,CRS)	CRS	float	30000	30000	0.00258627	0.939576	11.2749
matsub(CRS,CRS,CRS)	CRS	float	40000	40000	0.00343312	0.943749	11.325
matsub(CRS,CRS,CRS)	CRS	float	50000	50000	0.00430326	0.941146	11.2938
matsub(CRS,CRS,CRS)	CRS	float	60000	60000	0.00512674	0.94797	11.3756
matsub(CRS,CRS,CRS)	CRS	float	70000	70000	0.00594475	0.953783	11.4454
matsub(CRS,CRS,CRS)	CRS	float	80000	80000	0.00681052	0.951469	11.4176
matsub(CRS,CRS,CRS)	CRS	float	90000	90000	0.00765585	0.952212	11.4265
matsub(CRS,CRS,CRS)	CRS	float	100000	100000	0.00849901	0.953053	11.4366
matsub(CRS,CRS,CRS)	CRS	double	10000	10000	0.00171034	0.473589	11.3661
matsub(CRS,CRS,CRS)	CRS	double	20000	20000	0.00341263	0.474707	11.393
matsub(CRS,CRS,CRS)	CRS	double	30000	30000	0.00516012	0.470919	11.3021
matsub(CRS,CRS,CRS)	CRS	double	40000	40000	0.00680779	0.475925	11.4222
matsub(CRS,CRS,CRS)	CRS	double	50000	50000	0.00850915	0.475958	11.423
matsub(CRS,CRS,CRS)	CRS	double	60000	60000	0.0104479	0.465165	11.164
matsub(CRS,CRS,CRS)	CRS	double	70000	70000	0.011881	0.477232	11.4536
matsub(CRS,CRS,CRS)	CRS	double	80000	80000	0.013603	0.476366	11.4328
matsub(CRS,CRS,CRS)	CRS	double	90000	90000	0.0152944	0.476644	11.4395
matsub(CRS,CRS,CRS)	CRS	double	100000	100000	0.0171274	0.472926	11.3502
