func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_mul(Dense,Dense)	Dense	float	1000	1000	3.51952e-05	28.4129	227.304
sm_mul(Dense,Dense)	Dense	float	2000	2000	0.00158841	2.51824	20.1459
sm_mul(Dense,Dense)	Dense	float	3000	3000	0.00351062	2.56365	20.5092
sm_mul(Dense,Dense)	Dense	float	4000	4000	0.00619459	2.5829	20.6632
sm_mul(Dense,Dense)	Dense	float	5000	5000	0.00978049	2.55611	20.4489
sm_mul(Dense,Dense)	Dense	float	6000	6000	0.0140557	2.56123	20.4899
sm_mul(Dense,Dense)	Dense	float	7000	7000	0.0188939	2.59343	20.7475
sm_mul(Dense,Dense)	Dense	float	8000	8000	0.0252057	2.53911	20.3129
sm_mul(Dense,Dense)	Dense	float	9000	9000	0.0311308	2.60193	20.8154
sm_mul(Dense,Dense)	Dense	float	10000	10000	0.0392541	2.54751	20.3801
sm_mul(Dense,Dense)	Dense	double	1000	1000	0.000691877	1.44534	23.1255
sm_mul(Dense,Dense)	Dense	double	2000	2000	0.00313631	1.27538	20.4062
sm_mul(Dense,Dense)	Dense	double	3000	3000	0.00703855	1.27867	20.4588
sm_mul(Dense,Dense)	Dense	double	4000	4000	0.0125016	1.27983	20.4774
sm_mul(Dense,Dense)	Dense	double	5000	5000	0.0194604	1.28466	20.5546
sm_mul(Dense,Dense)	Dense	double	6000	6000	0.0280447	1.28367	20.5387
sm_mul(Dense,Dense)	Dense	double	7000	7000	0.0382524	1.28096	20.4954
sm_mul(Dense,Dense)	Dense	double	8000	8000	0.0511373	1.25153	20.0245
sm_mul(Dense,Dense)	Dense	double	9000	9000	0.0655009	1.23662	19.786
sm_mul(Dense,Dense)	Dense	double	10000	10000	0.0809447	1.23541	19.7666
