func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00629587	317.669
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.013381	504.448
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0311727	513.27
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0607444	514.451
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.107186	503.796
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.165762	517.308
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.237133	539.782
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.329694	552.786
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.45112	554.176
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.00940981	212.544
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0281548	239.746
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.0635266	251.863
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.116745	267.678
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.199539	270.624
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.309247	277.286
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	0.455547	280.981
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	0.661735	275.412
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	0.914901	273.254
