func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	Dense	float	1000	1000	0.00426555	0.234436	2.81324
matadd(Dense,Dense,Dense)	Dense	float	2000	2000	0.0138642	0.288512	3.46214
matadd(Dense,Dense,Dense)	Dense	float	3000	3000	0.0244161	0.36861	4.42332
matadd(Dense,Dense,Dense)	Dense	float	4000	4000	0.0437101	0.366049	4.39258
matadd(Dense,Dense,Dense)	Dense	float	5000	5000	0.0684551	0.365203	4.38244
matadd(Dense,Dense,Dense)	Dense	double	1000	1000	0.00415012	0.240957	5.78296
matadd(Dense,Dense,Dense)	Dense	double	2000	2000	0.0141854	0.281981	6.76753
matadd(Dense,Dense,Dense)	Dense	double	3000	3000	0.0264834	0.339835	8.15605
matadd(Dense,Dense,Dense)	Dense	double	4000	4000	0.0556856	0.287328	6.89586
matadd(Dense,Dense,Dense)	Dense	double	5000	5000	0.0870682	0.287131	6.89115
