func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	CRS	float	1000	1000	0.00103862	0.0779883	0.623907
mscal(CRS)	CRS	float	2000	2000	2.78878e-05	5.80899	46.4719
mscal(CRS)	CRS	float	4000	4000	4.10262e-05	7.89739	63.1791
mscal(CRS)	CRS	float	8000	8000	7.61055e-05	8.5145	68.116
mscal(CRS)	CRS	float	16000	16000	0.000145093	8.9322	71.4576
mscal(CRS)	CRS	float	32000	32000	0.000257549	10.0641	80.5128
mscal(CRS)	CRS	float	64000	64000	0.00125661	4.12539	33.0031
mscal(CRS)	CRS	double	1000	1000	2.66048e-05	3.04456	48.713
mscal(CRS)	CRS	double	2000	2000	3.81177e-05	4.24999	67.9999
mscal(CRS)	CRS	double	4000	4000	6.64048e-05	4.87917	78.0666
mscal(CRS)	CRS	double	8000	8000	0.000140954	4.59724	73.5559
mscal(CRS)	CRS	double	16000	16000	0.000263622	4.91614	78.6582
mscal(CRS)	CRS	double	32000	32000	0.0012781	2.02801	32.4482
mscal(CRS)	CRS	double	64000	64000	0.00941344	0.550702	8.81123
