func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_sub	vector	float	1000	1.61164e-05	0.124097	0.496389
sv_sub	vector	float	2000	1.59605e-05	0.250619	1.00247
sv_sub	vector	float	4000	2.17478e-05	0.367853	1.47141
sv_sub	vector	float	8000	2.18578e-05	0.732004	2.92802
sv_sub	vector	float	16000	3.0996e-05	1.03239	4.12957
sv_sub	vector	float	32000	5.03991e-05	1.26986	5.07946
sv_sub	vector	float	64000	0.000196158	0.652536	2.61014
sv_sub	vector	float	128000	0.000135233	1.89303	7.57214
sv_sub	vector	float	256000	0.000263685	1.94171	7.76684
sv_sub	vector	float	512000	0.000475836	2.152	8.608
sv_sub	vector	float	1024000	0.000839083	2.44076	9.76304
sv_sub	vector	float	2048000	0.00162313	2.52352	10.0941
sv_sub	vector	float	4096000	0.00463088	1.76899	7.07597
sv_sub	vector	float	8192000	0.0139116	1.17773	4.7109
sv_sub	vector	float	16384000	0.0352293	0.930134	3.72054
sv_sub	vector	float	32768000	0.0721637	0.908157	3.63263
sv_sub	vector	float	65536000	0.184682	0.709716	2.83886
sv_sub	vector	double	1000	1.91395e-05	0.104496	0.835968
sv_sub	vector	double	2000	2.26974e-05	0.176232	1.40985
sv_sub	vector	double	4000	2.96256e-05	0.270037	2.16029
sv_sub	vector	double	8000	4.47201e-05	0.357781	2.86225
sv_sub	vector	double	16000	7.18134e-05	0.445599	3.56479
sv_sub	vector	double	32000	0.00012849	0.498093	3.98475
sv_sub	vector	double	64000	0.000369985	0.34596	2.76768
sv_sub	vector	double	128000	0.00034663	0.738539	5.90831
sv_sub	vector	double	256000	0.00050688	1.0101	8.0808
sv_sub	vector	double	512000	0.000871263	1.1753	9.40244
sv_sub	vector	double	1024000	0.0016355	1.25221	10.0177
sv_sub	vector	double	2048000	0.00453242	0.903711	7.22969
sv_sub	vector	double	4096000	0.0155288	0.527537	4.2203
sv_sub	vector	double	8192000	0.0454147	0.360764	2.88611
sv_sub	vector	double	16384000	0.073182	0.44776	3.58208
sv_sub	vector	double	32768000	0.157621	0.415781	3.32625
sv_sub	vector	double	65536000	0.319373	0.410405	3.28324
