func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sinh(Dense)	Dense	float	1000	1000	0.000569689	1.75534
m_sinh(Dense)	Dense	float	2000	2000	0.00186894	2.14025
m_sinh(Dense)	Dense	float	3000	3000	0.0041749	2.15574
m_sinh(Dense)	Dense	float	4000	4000	0.00740081	2.16193
m_sinh(Dense)	Dense	float	5000	5000	0.0115875	2.1575
m_sinh(Dense)	Dense	float	6000	6000	0.0166398	2.16348
m_sinh(Dense)	Dense	float	7000	7000	0.0226915	2.1594
m_sinh(Dense)	Dense	float	8000	8000	0.0296208	2.16064
m_sinh(Dense)	Dense	float	9000	9000	0.0374065	2.1654
m_sinh(Dense)	Dense	float	10000	10000	0.0463457	2.1577
m_sinh(Dense)	Dense	double	1000	1000	0.000553048	1.80816
m_sinh(Dense)	Dense	double	2000	2000	0.00280129	1.42791
m_sinh(Dense)	Dense	double	3000	3000	0.00621036	1.44919
m_sinh(Dense)	Dense	double	4000	4000	0.0110922	1.44246
m_sinh(Dense)	Dense	double	5000	5000	0.0171624	1.45667
m_sinh(Dense)	Dense	double	6000	6000	0.0247028	1.45732
m_sinh(Dense)	Dense	double	7000	7000	0.0336315	1.45697
m_sinh(Dense)	Dense	double	8000	8000	0.0438328	1.46009
m_sinh(Dense)	Dense	double	9000	9000	0.0556824	1.45468
m_sinh(Dense)	Dense	double	10000	10000	0.0686194	1.45731
