func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	vector	float	1000	3.29853e-06	0.303165	1.21266
sum	vector	float	10000	3.6405e-06	2.74688	10.9875
sum	vector	float	100000	9.03633e-06	11.0664	44.2657
sum	vector	float	1000000	4.9103e-05	20.3654	81.4614
sum	vector	float	10000000	0.00111567	8.96319	35.8527
sum	vector	float	100000000	0.010736	9.31441	37.2577
sum	vector	double	1000	2.86573e-06	0.348951	2.79161
sum	vector	double	10000	3.03807e-06	3.29157	26.3325
sum	vector	double	100000	6.93403e-06	14.4216	115.373
sum	vector	double	1000000	4.67476e-05	21.3915	171.132
sum	vector	double	10000000	0.0021958	4.55415	36.4332
sum	vector	double	100000000	0.0218879	4.56873	36.5498
