func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
v_minus	vector	float	1000	0.00687191	0.00014552	0.00116416
v_minus	vector	float	10000	0.000498649	0.0200542	0.160434
v_minus	vector	float	100000	0.000853048	0.117227	0.937814
v_minus	vector	float	1000000	0.00415204	0.240845	1.92676
v_minus	vector	float	10000000	0.0343398	0.291207	2.32966
v_minus	vector	float	100000000	0.326395	0.306377	2.45102
v_minus	vector	double	1000	0.000435798	0.00229464	0.0367143
v_minus	vector	double	10000	0.000525128	0.019043	0.304688
v_minus	vector	double	100000	0.00142282	0.0702829	1.12453
v_minus	vector	double	1000000	0.00759309	0.131699	2.10718
v_minus	vector	double	10000000	0.0664034	0.150595	2.40951
v_minus	vector	double	100000000	0.669233	0.149425	2.3908
