func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matsub(Dense,Dense,Dense)	Dense	float	1000	1000	0.000638359	1.56652	18.7982
matsub(Dense,Dense,Dense)	Dense	float	2000	2000	0.00214094	1.86834	22.42
matsub(Dense,Dense,Dense)	Dense	float	3000	3000	0.0108237	0.831509	9.97811
matsub(Dense,Dense,Dense)	Dense	float	4000	4000	0.0163871	0.976376	11.7165
matsub(Dense,Dense,Dense)	Dense	float	5000	5000	0.0104571	2.39072	28.6887
matsub(Dense,Dense,Dense)	Dense	float	6000	6000	0.035837	1.00455	12.0546
matsub(Dense,Dense,Dense)	Dense	float	7000	7000	0.0367242	1.33427	16.0112
matsub(Dense,Dense,Dense)	Dense	float	8000	8000	0.0384853	1.66297	19.9557
matsub(Dense,Dense,Dense)	Dense	float	9000	9000	0.0450916	1.79634	21.5561
matsub(Dense,Dense,Dense)	Dense	float	10000	10000	0.0685241	1.45934	17.5121
matsub(Dense,Dense,Dense)	Dense	double	1000	1000	8.8182e-05	11.3402	272.164
matsub(Dense,Dense,Dense)	Dense	double	2000	2000	0.00285336	1.40185	33.6445
matsub(Dense,Dense,Dense)	Dense	double	3000	3000	0.018358	0.490248	11.766
matsub(Dense,Dense,Dense)	Dense	double	4000	4000	0.0175351	0.912458	21.899
matsub(Dense,Dense,Dense)	Dense	double	5000	5000	0.0428611	0.583279	13.9987
matsub(Dense,Dense,Dense)	Dense	double	6000	6000	0.0419253	0.85867	20.6081
matsub(Dense,Dense,Dense)	Dense	double	7000	7000	0.0899892	0.54451	13.0682
matsub(Dense,Dense,Dense)	Dense	double	8000	8000	0.0740563	0.864207	20.741
matsub(Dense,Dense,Dense)	Dense	double	9000	9000	0.0947333	0.855032	20.5208
matsub(Dense,Dense,Dense)	Dense	double	10000	10000	0.0839886	1.19064	28.5753
