func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_asin(CRS)	CRS	float	10000	10000	0.000471894	1.71649
m_asin(CRS)	CRS	float	20000	20000	0.000809261	2.00183
m_asin(CRS)	CRS	float	30000	30000	0.00115049	2.11214
m_asin(CRS)	CRS	float	40000	40000	0.00149809	2.16275
m_asin(CRS)	CRS	float	50000	50000	0.00182278	2.22188
m_asin(CRS)	CRS	float	60000	60000	0.00198193	2.45216
m_asin(CRS)	CRS	float	70000	70000	0.00211863	2.67625
m_asin(CRS)	CRS	float	80000	80000	0.00219457	2.95274
m_asin(CRS)	CRS	float	90000	90000	0.00244673	2.97948
m_asin(CRS)	CRS	float	100000	100000	0.00269778	3.00247
m_asin(CRS)	CRS	double	10000	10000	0.00129851	0.623791
m_asin(CRS)	CRS	double	20000	20000	0.00243634	0.664931
m_asin(CRS)	CRS	double	30000	30000	0.00349729	0.694824
m_asin(CRS)	CRS	double	40000	40000	0.00461067	0.702717
m_asin(CRS)	CRS	double	50000	50000	0.00569904	0.710646
m_asin(CRS)	CRS	double	60000	60000	0.00680416	0.714269
m_asin(CRS)	CRS	double	70000	70000	0.00790342	0.717411
m_asin(CRS)	CRS	double	80000	80000	0.00917044	0.706618
m_asin(CRS)	CRS	double	90000	90000	0.0101311	0.71957
m_asin(CRS)	CRS	double	100000	100000	0.0112238	0.721684
