func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_atanh(Dense)	Dense	float	1000	1000	0.000235285	4.25017
m_atanh(Dense)	Dense	float	2000	2000	0.000696172	5.74571
m_atanh(Dense)	Dense	float	3000	3000	0.00148865	6.04576
m_atanh(Dense)	Dense	float	4000	4000	0.00251024	6.37389
m_atanh(Dense)	Dense	float	5000	5000	0.0034319	7.2846
m_atanh(Dense)	Dense	float	6000	6000	0.00432963	8.31479
m_atanh(Dense)	Dense	float	7000	7000	0.00590375	8.2998
m_atanh(Dense)	Dense	float	8000	8000	0.00770647	8.30471
m_atanh(Dense)	Dense	float	9000	9000	0.00972424	8.3297
m_atanh(Dense)	Dense	float	10000	10000	0.0119543	8.3652
m_atanh(Dense)	Dense	double	1000	1000	0.00124475	0.803372
m_atanh(Dense)	Dense	double	2000	2000	0.00475779	0.840726
m_atanh(Dense)	Dense	double	3000	3000	0.0108211	0.831709
m_atanh(Dense)	Dense	double	4000	4000	0.0192283	0.832105
m_atanh(Dense)	Dense	double	5000	5000	0.0301021	0.830505
m_atanh(Dense)	Dense	double	6000	6000	0.0433501	0.830448
m_atanh(Dense)	Dense	double	7000	7000	0.0590131	0.830325
m_atanh(Dense)	Dense	double	8000	8000	0.0772905	0.828045
m_atanh(Dense)	Dense	double	9000	9000	0.0978375	0.827903
m_atanh(Dense)	Dense	double	10000	10000	0.121005	0.826414
