func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sqrt(Dense)	Dense	float	1000	1000	0.001349	0.74129
m_sqrt(Dense)	Dense	float	2000	2000	0.00252551	1.58384
m_sqrt(Dense)	Dense	float	3000	3000	0.00598424	1.50395
m_sqrt(Dense)	Dense	float	4000	4000	0.0105506	1.5165
m_sqrt(Dense)	Dense	float	5000	5000	0.0132705	1.88388
m_sqrt(Dense)	Dense	float	6000	6000	0.020708	1.73846
m_sqrt(Dense)	Dense	float	7000	7000	0.0232793	2.10488
m_sqrt(Dense)	Dense	float	8000	8000	0.0420613	1.52159
m_sqrt(Dense)	Dense	float	9000	9000	0.0424522	1.90803
m_sqrt(Dense)	Dense	float	10000	10000	0.0510987	1.957
m_sqrt(Dense)	Dense	double	1000	1000	0.000727728	1.37414
m_sqrt(Dense)	Dense	double	2000	2000	0.00351258	1.13876
m_sqrt(Dense)	Dense	double	3000	3000	0.00730512	1.23201
m_sqrt(Dense)	Dense	double	4000	4000	0.0173118	0.924225
m_sqrt(Dense)	Dense	double	5000	5000	0.0237198	1.05397
m_sqrt(Dense)	Dense	double	6000	6000	0.0287558	1.25192
m_sqrt(Dense)	Dense	double	7000	7000	0.0429251	1.14152
m_sqrt(Dense)	Dense	double	8000	8000	0.0498098	1.28489
m_sqrt(Dense)	Dense	double	9000	9000	0.0602164	1.34515
m_sqrt(Dense)	Dense	double	10000	10000	0.0633274	1.5791
