func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
ceil	vector	float	1000	2.6931e-05	0.0371319	0.297055
ceil	vector	float	10000	3.77756e-05	0.264721	2.11777
ceil	vector	float	100000	5.59813e-05	1.78631	14.2905
ceil	vector	float	1000000	0.000251541	3.97549	31.8039
ceil	vector	float	10000000	0.00144184	6.93556	55.4845
ceil	vector	float	100000000	0.00988917	10.1121	80.8966
ceil	vector	double	1000	3.10782e-05	0.0321769	0.51483
ceil	vector	double	10000	6.76023e-05	0.147924	2.36678
ceil	vector	double	100000	6.5321e-05	1.5309	24.4944
ceil	vector	double	1000000	0.000396085	2.52471	40.3953
ceil	vector	double	10000000	0.00183849	5.43925	87.028
ceil	vector	double	100000000	0.0164061	6.09529	97.5247
