func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tan(Dense)	Dense	float	1000	1000	0.00110956	0.901257
m_tan(Dense)	Dense	float	2000	2000	0.00137618	2.9066
m_tan(Dense)	Dense	float	3000	3000	0.00300367	2.99633
m_tan(Dense)	Dense	float	4000	4000	0.0062945	2.5419
m_tan(Dense)	Dense	float	5000	5000	0.0140978	1.77332
m_tan(Dense)	Dense	float	6000	6000	0.0152381	2.36249
m_tan(Dense)	Dense	float	7000	7000	0.0223343	2.19394
m_tan(Dense)	Dense	float	8000	8000	0.0333961	1.91639
m_tan(Dense)	Dense	float	9000	9000	0.0308983	2.6215
m_tan(Dense)	Dense	float	10000	10000	0.0407893	2.45163
m_tan(Dense)	Dense	double	1000	1000	0.00105674	0.946308
m_tan(Dense)	Dense	double	2000	2000	0.00443021	0.902891
m_tan(Dense)	Dense	double	3000	3000	0.0100878	0.892164
m_tan(Dense)	Dense	double	4000	4000	0.0150607	1.06236
m_tan(Dense)	Dense	double	5000	5000	0.0195391	1.27949
m_tan(Dense)	Dense	double	6000	6000	0.0333738	1.07869
m_tan(Dense)	Dense	double	7000	7000	0.0419274	1.16869
m_tan(Dense)	Dense	double	8000	8000	0.0456588	1.4017
m_tan(Dense)	Dense	double	9000	9000	0.055794	1.45177
m_tan(Dense)	Dense	double	10000	10000	0.0694243	1.44042
