func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	Dense	float	1000	1000	0.000189393	5.28003	63.3603
matadd(Dense,Dense,Dense)	Dense	float	2000	2000	0.000576302	6.94081	83.2897
matadd(Dense,Dense,Dense)	Dense	float	3000	3000	0.00130627	6.88983	82.678
matadd(Dense,Dense,Dense)	Dense	float	4000	4000	0.00199596	8.01617	96.1941
matadd(Dense,Dense,Dense)	Dense	float	5000	5000	0.00322602	7.74948	92.9937
matadd(Dense,Dense,Dense)	Dense	float	6000	6000	0.00456815	7.88066	94.5679
matadd(Dense,Dense,Dense)	Dense	float	7000	7000	0.00619306	7.91209	94.9451
matadd(Dense,Dense,Dense)	Dense	float	8000	8000	0.00796125	8.03894	96.4672
matadd(Dense,Dense,Dense)	Dense	float	9000	9000	0.0100394	8.0682	96.8184
matadd(Dense,Dense,Dense)	Dense	float	10000	10000	0.0123302	8.11014	97.3217
matadd(Dense,Dense,Dense)	Dense	double	1000	1000	0.000302906	3.30136	79.2326
matadd(Dense,Dense,Dense)	Dense	double	2000	2000	0.00102749	3.89297	93.4313
matadd(Dense,Dense,Dense)	Dense	double	3000	3000	0.00227228	3.96078	95.0588
matadd(Dense,Dense,Dense)	Dense	double	4000	4000	0.00407419	3.92717	94.252
matadd(Dense,Dense,Dense)	Dense	double	5000	5000	0.00627221	3.98584	95.6601
matadd(Dense,Dense,Dense)	Dense	double	6000	6000	0.00890979	4.0405	96.972
matadd(Dense,Dense,Dense)	Dense	double	7000	7000	0.0120249	4.07486	97.7967
matadd(Dense,Dense,Dense)	Dense	double	8000	8000	0.0156529	4.08871	98.129
matadd(Dense,Dense,Dense)	Dense	double	9000	9000	0.0197083	4.10994	98.6387
matadd(Dense,Dense,Dense)	Dense	double	10000	10000	0.0243034	4.11465	98.7517
