func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_mul(CRS,CRS,CRS)	CRS	float	10000	10000	0.00034284	4.72524	28.3514
mm_mul(CRS,CRS,CRS)	CRS	float	20000	20000	0.000601418	5.38727	32.3236
mm_mul(CRS,CRS,CRS)	CRS	float	30000	30000	0.000813231	5.97616	35.857
mm_mul(CRS,CRS,CRS)	CRS	float	40000	40000	0.00115567	5.60714	33.6429
mm_mul(CRS,CRS,CRS)	CRS	float	50000	50000	0.00117759	6.87845	41.2707
mm_mul(CRS,CRS,CRS)	CRS	float	60000	60000	0.00146308	6.64353	39.8612
mm_mul(CRS,CRS,CRS)	CRS	float	70000	70000	0.00158536	7.15296	42.9178
mm_mul(CRS,CRS,CRS)	CRS	float	80000	80000	0.00183526	7.06165	42.3699
mm_mul(CRS,CRS,CRS)	CRS	float	90000	90000	0.00198178	7.35702	44.1421
mm_mul(CRS,CRS,CRS)	CRS	float	100000	100000	0.00217834	7.43685	44.6211
mm_mul(CRS,CRS,CRS)	CRS	double	10000	10000	0.000576599	2.80958	33.7149
mm_mul(CRS,CRS,CRS)	CRS	double	20000	20000	0.000973305	3.32886	39.9464
mm_mul(CRS,CRS,CRS)	CRS	double	30000	30000	0.00137952	3.52297	42.2756
mm_mul(CRS,CRS,CRS)	CRS	double	40000	40000	0.00176841	3.66431	43.9717
mm_mul(CRS,CRS,CRS)	CRS	double	50000	50000	0.00215637	3.75631	45.0758
mm_mul(CRS,CRS,CRS)	CRS	double	60000	60000	0.00254993	3.81187	45.7424
mm_mul(CRS,CRS,CRS)	CRS	double	70000	70000	0.00295205	3.8414	46.0968
mm_mul(CRS,CRS,CRS)	CRS	double	80000	80000	0.00338425	3.82951	45.9541
mm_mul(CRS,CRS,CRS)	CRS	double	90000	90000	0.00378712	3.8499	46.1987
mm_mul(CRS,CRS,CRS)	CRS	double	100000	100000	0.00417039	3.88453	46.6143
