func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	Dense	float	1000	1000	0.00427688	0.233815	2.80578
matadd(Dense,Dense,Dense)	Dense	float	2000	2000	0.0138193	0.28945	3.4734
matadd(Dense,Dense,Dense)	Dense	float	3000	3000	0.0242544	0.371067	4.45281
matadd(Dense,Dense,Dense)	Dense	float	4000	4000	0.0436424	0.366616	4.39939
matadd(Dense,Dense,Dense)	Dense	float	5000	5000	0.0678398	0.368515	4.42218
matadd(Dense,Dense,Dense)	Dense	double	1000	1000	0.00414587	0.241204	5.78889
matadd(Dense,Dense,Dense)	Dense	double	2000	2000	0.0141924	0.281841	6.76418
matadd(Dense,Dense,Dense)	Dense	double	3000	3000	0.0263222	0.341917	8.206
matadd(Dense,Dense,Dense)	Dense	double	4000	4000	0.0554543	0.288526	6.92462
matadd(Dense,Dense,Dense)	Dense	double	5000	5000	0.0864741	0.289104	6.9385
