func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_asin(Dense)	Dense	float	1000	1000	0.00101772	0.982586
m_asin(Dense)	Dense	float	2000	2000	0.000956644	4.18129
m_asin(Dense)	Dense	float	3000	3000	0.00507712	1.77266
m_asin(Dense)	Dense	float	4000	4000	0.0121417	1.31777
m_asin(Dense)	Dense	float	5000	5000	0.0165151	1.51377
m_asin(Dense)	Dense	float	6000	6000	0.0270022	1.33322
m_asin(Dense)	Dense	float	7000	7000	0.0265018	1.84893
m_asin(Dense)	Dense	float	8000	8000	0.0211867	3.02076
m_asin(Dense)	Dense	float	9000	9000	0.0376735	2.15005
m_asin(Dense)	Dense	float	10000	10000	0.0304196	3.28736
m_asin(Dense)	Dense	double	1000	1000	0.000631373	1.58385
m_asin(Dense)	Dense	double	2000	2000	0.00566171	0.706501
m_asin(Dense)	Dense	double	3000	3000	0.00576993	1.55981
m_asin(Dense)	Dense	double	4000	4000	0.0211997	0.754726
m_asin(Dense)	Dense	double	5000	5000	0.0216885	1.15268
m_asin(Dense)	Dense	double	6000	6000	0.0354507	1.01549
m_asin(Dense)	Dense	double	7000	7000	0.0346916	1.41244
m_asin(Dense)	Dense	double	8000	8000	0.0436203	1.46721
m_asin(Dense)	Dense	double	9000	9000	0.0513532	1.57731
m_asin(Dense)	Dense	double	10000	10000	0.0875317	1.14244
