func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_atanh(CRS)	CRS	float	10000	10000	0.00419593	0.193044
m_atanh(CRS)	CRS	float	20000	20000	0.00690726	0.234536
m_atanh(CRS)	CRS	float	30000	30000	0.010331	0.235215
m_atanh(CRS)	CRS	float	40000	40000	0.0117006	0.27691
m_atanh(CRS)	CRS	float	50000	50000	0.0137071	0.295467
m_atanh(CRS)	CRS	float	60000	60000	0.0192594	0.252345
m_atanh(CRS)	CRS	float	70000	70000	0.0196499	0.288551
m_atanh(CRS)	CRS	float	80000	80000	0.0219545	0.295156
m_atanh(CRS)	CRS	float	90000	90000	0.0259462	0.280966
m_atanh(CRS)	CRS	float	100000	100000	0.0288451	0.28081
m_atanh(CRS)	CRS	double	10000	10000	0.00372147	0.217656
m_atanh(CRS)	CRS	double	20000	20000	0.00557453	0.290608
m_atanh(CRS)	CRS	double	30000	30000	0.010844	0.224086
m_atanh(CRS)	CRS	double	40000	40000	0.0152285	0.212759
m_atanh(CRS)	CRS	double	50000	50000	0.0192862	0.209995
m_atanh(CRS)	CRS	double	60000	60000	0.022733	0.213786
m_atanh(CRS)	CRS	double	70000	70000	0.0201113	0.281932
m_atanh(CRS)	CRS	double	80000	80000	0.0269692	0.240274
m_atanh(CRS)	CRS	double	90000	90000	0.0268924	0.271081
m_atanh(CRS)	CRS	double	100000	100000	0.0289391	0.279898
