func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	Dense	float	1000	1000	5.85128e-05	17.0903	136.722
mscal(Dense)	Dense	float	2000	2000	0.000208104	19.2212	153.77
mscal(Dense)	Dense	float	3000	3000	0.000469035	19.1883	153.507
mscal(Dense)	Dense	float	4000	4000	0.00543928	2.94157	23.5325
mscal(Dense)	Dense	float	5000	5000	0.0104161	2.40013	19.2011
mscal(Dense)	Dense	float	6000	6000	0.0157085	2.29176	18.3341
mscal(Dense)	Dense	float	7000	7000	0.0216655	2.26166	18.0933
mscal(Dense)	Dense	float	8000	8000	0.0324023	1.97517	15.8014
mscal(Dense)	Dense	float	9000	9000	0.0358176	2.26146	18.0917
mscal(Dense)	Dense	float	10000	10000	0.02922	3.42231	27.3785
mscal(Dense)	Dense	double	1000	1000	6.05099e-05	16.5262	264.419
mscal(Dense)	Dense	double	2000	2000	0.000220566	18.1352	290.162
mscal(Dense)	Dense	double	3000	3000	0.00366188	2.45775	39.3241
mscal(Dense)	Dense	double	4000	4000	0.0135601	1.17994	18.879
mscal(Dense)	Dense	double	5000	5000	0.0226013	1.10613	17.6981
mscal(Dense)	Dense	double	6000	6000	0.0320039	1.12486	17.9978
mscal(Dense)	Dense	double	7000	7000	0.0434438	1.12789	18.0463
mscal(Dense)	Dense	double	8000	8000	0.047144	1.35754	21.7207
mscal(Dense)	Dense	double	9000	9000	0.0604026	1.341	21.456
mscal(Dense)	Dense	double	10000	10000	0.0564183	1.77247	28.3596
