func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	Dense	float	1000	1000	6.02882e-05	16.587	132.696
mscal(Dense)	Dense	float	2000	2000	0.000212258	18.845	150.76
mscal(Dense)	Dense	float	3000	3000	0.00046645	19.2947	154.357
mscal(Dense)	Dense	float	4000	4000	0.00573359	2.79057	22.3246
mscal(Dense)	Dense	float	5000	5000	0.011447	2.18398	17.4718
mscal(Dense)	Dense	float	6000	6000	0.0156488	2.30049	18.4039
mscal(Dense)	Dense	float	7000	7000	0.0248838	1.96915	15.7532
mscal(Dense)	Dense	float	8000	8000	0.0284954	2.24598	17.9678
mscal(Dense)	Dense	float	9000	9000	0.0206139	3.92938	31.4351
mscal(Dense)	Dense	float	10000	10000	0.0506376	1.97482	15.7985
mscal(Dense)	Dense	double	1000	1000	6.15236e-05	16.2539	260.063
mscal(Dense)	Dense	double	2000	2000	0.000220372	18.1511	290.417
mscal(Dense)	Dense	double	3000	3000	0.00844937	1.06517	17.0427
mscal(Dense)	Dense	double	4000	4000	0.0156407	1.02297	16.3675
mscal(Dense)	Dense	double	5000	5000	0.0251997	0.992074	15.8732
mscal(Dense)	Dense	double	6000	6000	0.0183963	1.95691	31.3106
mscal(Dense)	Dense	double	7000	7000	0.0502882	0.974383	15.5901
mscal(Dense)	Dense	double	8000	8000	0.0571214	1.12042	17.9267
mscal(Dense)	Dense	double	9000	9000	0.0847881	0.955323	15.2852
mscal(Dense)	Dense	double	10000	10000	0.0686892	1.45583	23.2933
