func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
nrm2	vector	float	1000	0.00026217	0.00762865	0.0152573
nrm2	vector	float	10000	0.000387519	0.0516103	0.103221
nrm2	vector	float	100000	0.000393009	0.508895	1.01779
nrm2	vector	float	1000000	0.000679074	2.94518	5.89037
nrm2	vector	float	10000000	0.00106569	18.7672	37.5345
nrm2	vector	float	100000000	0.0046694	42.8321	85.6641
nrm2	vector	double	1000	0.000419242	0.00477051	0.019082
nrm2	vector	double	10000	0.000437995	0.0456626	0.18265
nrm2	vector	double	100000	0.000448718	0.445714	1.78286
nrm2	vector	double	1000000	0.000762369	2.6234	10.4936
nrm2	vector	double	10000000	0.00148522	13.466	53.864
nrm2	vector	double	100000000	0.00858449	23.2978	93.1913
