func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
tan	vector	float	1000	1.27223e-05	0.0786023	0.628819
tan	vector	float	10000	1.59761e-05	0.625935	5.00748
tan	vector	float	100000	9.81037e-05	1.01933	8.15464
tan	vector	float	1000000	0.000897679	1.11398	8.91187
tan	vector	float	10000000	0.00918376	1.08888	8.71103
tan	vector	float	100000000	0.0917828	1.08953	8.71623
tan	vector	double	1000	6.97247e-06	0.143421	2.29474
tan	vector	double	10000	2.22315e-05	0.449812	7.19698
tan	vector	double	100000	0.000146279	0.683627	10.938
tan	vector	double	1000000	0.00134517	0.743403	11.8944
tan	vector	double	10000000	0.0139218	0.718296	11.4927
tan	vector	double	100000000	0.140271	0.712904	11.4065
