func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_atanh(Dense)	Dense	float	1000	1000	0.000219983	4.5458
m_atanh(Dense)	Dense	float	2000	2000	0.000695083	5.75471
m_atanh(Dense)	Dense	float	3000	3000	0.0014888	6.04515
m_atanh(Dense)	Dense	float	4000	4000	0.00241965	6.61252
m_atanh(Dense)	Dense	float	5000	5000	0.00337433	7.40888
m_atanh(Dense)	Dense	float	6000	6000	0.00446308	8.06618
m_atanh(Dense)	Dense	float	7000	7000	0.00591915	8.27821
m_atanh(Dense)	Dense	float	8000	8000	0.00769148	8.3209
m_atanh(Dense)	Dense	float	9000	9000	0.00972132	8.3322
m_atanh(Dense)	Dense	float	10000	10000	0.0119509	8.36758
m_atanh(Dense)	Dense	double	1000	1000	0.00123695	0.808443
m_atanh(Dense)	Dense	double	2000	2000	0.00475368	0.841453
m_atanh(Dense)	Dense	double	3000	3000	0.010816	0.832101
m_atanh(Dense)	Dense	double	4000	4000	0.0192495	0.831189
m_atanh(Dense)	Dense	double	5000	5000	0.0300796	0.831129
m_atanh(Dense)	Dense	double	6000	6000	0.0432924	0.831555
m_atanh(Dense)	Dense	double	7000	7000	0.0589812	0.830773
m_atanh(Dense)	Dense	double	8000	8000	0.0773082	0.827856
m_atanh(Dense)	Dense	double	9000	9000	0.0978404	0.827879
m_atanh(Dense)	Dense	double	10000	10000	0.120972	0.826639
