func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_sub(Dense,Dense,Dense)	Dense	float	1000	1000	0.000815476	1.22628	14.7153
mm_sub(Dense,Dense,Dense)	Dense	float	2000	2000	0.00918582	0.435454	5.22545
mm_sub(Dense,Dense,Dense)	Dense	float	3000	3000	0.0172072	0.523037	6.27644
mm_sub(Dense,Dense,Dense)	Dense	float	4000	4000	0.00743215	2.15281	25.8337
mm_sub(Dense,Dense,Dense)	Dense	float	5000	5000	0.01342	1.86289	22.3547
mm_sub(Dense,Dense,Dense)	Dense	float	6000	6000	0.04151	0.86726	10.4071
mm_sub(Dense,Dense,Dense)	Dense	float	7000	7000	0.0242633	2.01951	24.2342
mm_sub(Dense,Dense,Dense)	Dense	float	8000	8000	0.0510187	1.25444	15.0533
mm_sub(Dense,Dense,Dense)	Dense	float	9000	9000	0.0603597	1.34196	16.1035
mm_sub(Dense,Dense,Dense)	Dense	float	10000	10000	0.0719433	1.38998	16.6798
mm_sub(Dense,Dense,Dense)	Dense	double	1000	1000	0.000743409	1.34515	32.2837
mm_sub(Dense,Dense,Dense)	Dense	double	2000	2000	0.01358	0.29455	7.0692
mm_sub(Dense,Dense,Dense)	Dense	double	3000	3000	0.0236266	0.380927	9.14224
mm_sub(Dense,Dense,Dense)	Dense	double	4000	4000	0.0291126	0.549591	13.1902
mm_sub(Dense,Dense,Dense)	Dense	double	5000	5000	0.0432648	0.577837	13.8681
mm_sub(Dense,Dense,Dense)	Dense	double	6000	6000	0.0621585	0.579165	13.9
mm_sub(Dense,Dense,Dense)	Dense	double	7000	7000	0.0762575	0.64256	15.4214
mm_sub(Dense,Dense,Dense)	Dense	double	8000	8000	0.0702226	0.911388	21.8733
mm_sub(Dense,Dense,Dense)	Dense	double	9000	9000	0.0983017	0.823994	19.7758
mm_sub(Dense,Dense,Dense)	Dense	double	10000	10000	0.111063	0.900391	21.6094
