func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sign(Dense)	Dense	float	1000	1000	5.98966e-05	16.6954
m_sign(Dense)	Dense	float	2000	2000	0.00021028	19.0223
m_sign(Dense)	Dense	float	3000	3000	0.000468046	19.2289
m_sign(Dense)	Dense	float	4000	4000	0.00555845	2.8785
m_sign(Dense)	Dense	float	5000	5000	0.0115601	2.16261
m_sign(Dense)	Dense	float	6000	6000	0.015459	2.32875
m_sign(Dense)	Dense	float	7000	7000	0.0213618	2.29381
m_sign(Dense)	Dense	float	8000	8000	0.028385	2.25471
m_sign(Dense)	Dense	float	9000	9000	0.0168118	4.81806
m_sign(Dense)	Dense	float	10000	10000	0.0431671	2.31658
m_sign(Dense)	Dense	double	1000	1000	0.0012723	0.78598
m_sign(Dense)	Dense	double	2000	2000	0.00022143	18.0644
m_sign(Dense)	Dense	double	3000	3000	0.00675725	1.3319
m_sign(Dense)	Dense	double	4000	4000	0.0136566	1.17159
m_sign(Dense)	Dense	double	5000	5000	0.0219506	1.13892
m_sign(Dense)	Dense	double	6000	6000	0.0369193	0.9751
m_sign(Dense)	Dense	double	7000	7000	0.0437607	1.11973
m_sign(Dense)	Dense	double	8000	8000	0.0302143	2.1182
m_sign(Dense)	Dense	double	9000	9000	0.0725896	1.11586
m_sign(Dense)	Dense	double	10000	10000	0.0893856	1.11875
