func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sinh(CRS)	CRS	float	10000	10000	0.0027132	0.298541
m_sinh(CRS)	CRS	float	20000	20000	0.00388494	0.416995
m_sinh(CRS)	CRS	float	30000	30000	0.00490129	0.495788
m_sinh(CRS)	CRS	float	40000	40000	0.00651534	0.497288
m_sinh(CRS)	CRS	float	50000	50000	0.00964577	0.419873
m_sinh(CRS)	CRS	float	60000	60000	0.0122238	0.397586
m_sinh(CRS)	CRS	float	70000	70000	0.0143944	0.393904
m_sinh(CRS)	CRS	float	80000	80000	0.0164576	0.393738
m_sinh(CRS)	CRS	float	90000	90000	0.0180999	0.402765
m_sinh(CRS)	CRS	float	100000	100000	0.0200056	0.404886
m_sinh(CRS)	CRS	double	10000	10000	0.00255381	0.317173
m_sinh(CRS)	CRS	double	20000	20000	0.00509748	0.317804
m_sinh(CRS)	CRS	double	30000	30000	0.00789106	0.307943
m_sinh(CRS)	CRS	double	40000	40000	0.0104183	0.310992
m_sinh(CRS)	CRS	double	50000	50000	0.0129959	0.311636
m_sinh(CRS)	CRS	double	60000	60000	0.01651	0.294367
m_sinh(CRS)	CRS	double	70000	70000	0.018974	0.298831
m_sinh(CRS)	CRS	double	80000	80000	0.0206043	0.314497
m_sinh(CRS)	CRS	double	90000	90000	0.023739	0.307089
m_sinh(CRS)	CRS	double	100000	100000	0.0239217	0.338605
