func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tan(CRS)	CRS	float	10000	10000	0.00196934	0.411306
m_tan(CRS)	CRS	float	20000	20000	0.00393429	0.411764
m_tan(CRS)	CRS	float	30000	30000	0.00586906	0.414036
m_tan(CRS)	CRS	float	40000	40000	0.00782799	0.4139
m_tan(CRS)	CRS	float	50000	50000	0.00979265	0.413576
m_tan(CRS)	CRS	float	60000	60000	0.0117893	0.412239
m_tan(CRS)	CRS	float	70000	70000	0.0139636	0.406057
m_tan(CRS)	CRS	float	80000	80000	0.0158975	0.407611
m_tan(CRS)	CRS	float	90000	90000	0.0179262	0.406668
m_tan(CRS)	CRS	float	100000	100000	0.0201937	0.401115
m_tan(CRS)	CRS	double	10000	10000	0.00339707	0.238441
m_tan(CRS)	CRS	double	20000	20000	0.0067959	0.238379
m_tan(CRS)	CRS	double	30000	30000	0.0101876	0.238524
m_tan(CRS)	CRS	double	40000	40000	0.0136878	0.236708
m_tan(CRS)	CRS	double	50000	50000	0.0171581	0.23604
m_tan(CRS)	CRS	double	60000	60000	0.020624	0.235648
m_tan(CRS)	CRS	double	70000	70000	0.0240117	0.236135
m_tan(CRS)	CRS	double	80000	80000	0.0276525	0.234337
m_tan(CRS)	CRS	double	90000	90000	0.0332033	0.219557
m_tan(CRS)	CRS	double	100000	100000	0.0343379	0.235891
