func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matcopy(Dense,Dense,Dense)	Dense	float	1000	1000	0.000335288	0	23.8601
matcopy(Dense,Dense,Dense)	Dense	float	2000	2000	0.00268522	0	11.9171
matcopy(Dense,Dense,Dense)	Dense	float	3000	3000	0.00617381	0	11.6622
matcopy(Dense,Dense,Dense)	Dense	float	4000	4000	0.0109502	0	11.6892
matcopy(Dense,Dense,Dense)	Dense	float	5000	5000	0.0172415	0	11.5999
matcopy(Dense,Dense,Dense)	Dense	float	6000	6000	0.0246641	0	11.6769
matcopy(Dense,Dense,Dense)	Dense	float	7000	7000	0.0335917	0	11.6695
matcopy(Dense,Dense,Dense)	Dense	float	8000	8000	0.0438136	0	11.6859
matcopy(Dense,Dense,Dense)	Dense	float	9000	9000	0.0557233	0	11.6289
matcopy(Dense,Dense,Dense)	Dense	float	10000	10000	0.0680705	0	11.7525
matcopy(Dense,Dense,Dense)	Dense	double	1000	1000	0.000693554	0	23.0696
matcopy(Dense,Dense,Dense)	Dense	double	2000	2000	0.00550213	0	11.6319
matcopy(Dense,Dense,Dense)	Dense	double	3000	3000	0.0123435	0	11.6661
matcopy(Dense,Dense,Dense)	Dense	double	4000	4000	0.0219729	0	11.6507
matcopy(Dense,Dense,Dense)	Dense	double	5000	5000	0.0345236	0	11.5863
matcopy(Dense,Dense,Dense)	Dense	double	6000	6000	0.0510788	0	11.2767
matcopy(Dense,Dense,Dense)	Dense	double	7000	7000	0.0744269	0	10.5338
matcopy(Dense,Dense,Dense)	Dense	double	8000	8000	0.0871473	0	11.7502
matcopy(Dense,Dense,Dense)	Dense	double	9000	9000	0.111629	0	11.6099
matcopy(Dense,Dense,Dense)	Dense	double	10000	10000	0.138168	0	11.5801
