func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_add(Dense,Dense,Dense)	Dense	float	1000	1000	0.000191289	5.2277	62.7324
mm_add(Dense,Dense,Dense)	Dense	float	2000	2000	0.000574502	6.96255	83.5506
mm_add(Dense,Dense,Dense)	Dense	float	3000	3000	0.00131481	6.84511	82.1414
mm_add(Dense,Dense,Dense)	Dense	float	4000	4000	0.00199592	8.01635	96.1961
mm_add(Dense,Dense,Dense)	Dense	float	5000	5000	0.00320614	7.79753	93.5704
mm_add(Dense,Dense,Dense)	Dense	float	6000	6000	0.00461231	7.8052	93.6624
mm_add(Dense,Dense,Dense)	Dense	float	7000	7000	0.00620568	7.896	94.7519
mm_add(Dense,Dense,Dense)	Dense	float	8000	8000	0.00801471	7.98532	95.8238
mm_add(Dense,Dense,Dense)	Dense	float	9000	9000	0.010028	8.07737	96.9284
mm_add(Dense,Dense,Dense)	Dense	float	10000	10000	0.0123221	8.11553	97.3863
mm_add(Dense,Dense,Dense)	Dense	double	1000	1000	0.000341538	2.92793	70.2704
mm_add(Dense,Dense,Dense)	Dense	double	2000	2000	0.00102693	3.8951	93.4824
mm_add(Dense,Dense,Dense)	Dense	double	3000	3000	0.00225594	3.98946	95.7471
mm_add(Dense,Dense,Dense)	Dense	double	4000	4000	0.00406191	3.93903	94.5368
mm_add(Dense,Dense,Dense)	Dense	double	5000	5000	0.00627095	3.98663	95.6792
mm_add(Dense,Dense,Dense)	Dense	double	6000	6000	0.0088958	4.04685	97.1245
mm_add(Dense,Dense,Dense)	Dense	double	7000	7000	0.0120163	4.0778	97.8672
mm_add(Dense,Dense,Dense)	Dense	double	8000	8000	0.0156263	4.09565	98.2956
mm_add(Dense,Dense,Dense)	Dense	double	9000	9000	0.0197132	4.10892	98.6142
mm_add(Dense,Dense,Dense)	Dense	double	10000	10000	0.0242861	4.11758	98.8219
